transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,2362,7638,0.9301,0.7777307366638442,0.9772191673212884
brightness_s2,10000,2437,7563,0.9265,0.7739023389413213,0.9756710300145444
brightness_s3,10000,2498,7502,0.9177,0.7518014411529224,0.9729405491868836
brightness_s4,10000,2641,7359,0.9105,0.7417644831503218,0.9710558499796168
brightness_s5,10000,3051,6949,0.8803,0.700753851196329,0.9591308101885164
contrast_s1,10000,2293,7707,0.9285,0.7727867422590493,0.9748280783703128
contrast_s2,10000,2669,7331,0.8956,0.7182465342825028,0.960169144727868
contrast_s3,10000,3342,6658,0.8574,0.6906044284859366,0.9411234604986484
contrast_s4,10000,4775,5225,0.7581,0.6115183246073298,0.8920574162679425
contrast_s5,10000,8501,1499,0.3589,0.3287848488413127,0.5296864576384256
defocus_blur_s1,10000,2327,7673,0.93,0.7730984099699183,0.97758373517529
defocus_blur_s2,10000,2446,7554,0.9157,0.7555192150449714,0.967566851998941
defocus_blur_s3,10000,3363,6637,0.8622,0.7026464466250372,0.9430465571794484
defocus_blur_s4,10000,4815,5185,0.7616,0.647767393561786,0.8673095467695274
defocus_blur_s5,10000,6644,3356,0.5295,0.465833835039133,0.6555423122765197
elastic_transform_s1,10000,3106,6894,0.8835,0.7147456535737282,0.9595300261096604
elastic_transform_s2,10000,3064,6936,0.879,0.7052872062663186,0.9557381776239908
elastic_transform_s3,10000,3810,6190,0.8363,0.6797900262467191,0.9326332794830372
elastic_transform_s4,10000,4566,5434,0.7786,0.6449846692947876,0.8908722856091277
elastic_transform_s5,10000,5168,4832,0.7502,0.618421052631579,0.8911423841059603
fog_s1,10000,2335,7665,0.9301,0.7747323340471092,0.9774298760600132
fog_s2,10000,2443,7557,0.9194,0.7560376586164552,0.9722111949186184
fog_s3,10000,2764,7236,0.8979,0.7217800289435601,0.965174129353234
fog_s4,10000,3351,6649,0.8705,0.7168009549388242,0.947962099563844
fog_s5,10000,5323,4677,0.7144,0.6022919406349803,0.8419927303827239
frost_s1,10000,3213,6787,0.8895,0.7258014316837846,0.9669957271253868
frost_s2,10000,4027,5973,0.8305,0.6687360317854483,0.9395613594508622
frost_s3,10000,5276,4724,0.7271,0.5731614859742229,0.8990262489415749
frost_s4,10000,5459,4541,0.7128,0.5697014105147463,0.8848271305879762
frost_s5,10000,6424,3576,0.5939,0.4738480697384807,0.8095637583892618
gaussian_blur_s1,10000,2324,7676,0.93,0.7736660929432013,0.977331943720688
gaussian_blur_s2,10000,3369,6631,0.8589,0.6978331849213416,0.940732921128035
gaussian_blur_s3,10000,4903,5097,0.7456,0.6359371813175607,0.8510888758092996
gaussian_blur_s4,10000,6092,3908,0.5953,0.528069599474721,0.7001023541453428
gaussian_blur_s5,10000,7498,2502,0.3467,0.311549746599093,0.4520383693045564
gaussian_noise_s1,10000,5437,4563,0.724,0.5764208203053154,0.8998465921542844
gaussian_noise_s2,10000,7596,2404,0.4807,0.40376513954713,0.7237936772046589
gaussian_noise_s3,10000,8910,1090,0.3011,0.2736251402918069,0.5256880733944954
gaussian_noise_s4,10000,9393,607,0.2467,0.2325135739380389,0.4662273476112026
gaussian_noise_s5,10000,9644,356,0.2073,0.1989838241393612,0.4325842696629213
glass_blur_s1,10000,6922,3078,0.5393,0.4362900895694885,0.7709551656920078
glass_blur_s2,10000,6742,3258,0.5636,0.452091367546722,0.7943523634131369
glass_blur_s3,10000,6490,3510,0.6017,0.4839753466872111,0.8193732193732194
glass_blur_s4,10000,7461,2539,0.4479,0.3645623911003887,0.6927924379677038
glass_blur_s5,10000,7181,2819,0.4884,0.3974376827739869,0.7201135154310039
impulse_noise_s1,10000,3575,6425,0.845,0.6797202797202797,0.9369649805447472
impulse_noise_s2,10000,5387,4613,0.7423,0.6170410246890663,0.8885757641448081
impulse_noise_s3,10000,7187,2813,0.6181,0.5361068596076248,0.8275862068965517
impulse_noise_s4,10000,9427,573,0.348,0.3279940596159966,0.6771378708551483
impulse_noise_s5,10000,9886,114,0.189,0.1856160226583046,0.4824561403508772
jpeg_compression_s1,10000,3550,6450,0.8463,0.6509859154929577,0.9537984496124032
jpeg_compression_s2,10000,4335,5665,0.7961,0.6193771626297578,0.931332744924978
jpeg_compression_s3,10000,4628,5372,0.7814,0.6173292999135696,0.922747580044676
jpeg_compression_s4,10000,4874,5126,0.7524,0.5908904390644235,0.905969566913773
jpeg_compression_s5,10000,5392,4608,0.7209,0.5829005934718101,0.8823784722222222
motion_blur_s1,10000,3165,6835,0.8765,0.7096366508688784,0.9537673738112656
motion_blur_s2,10000,4453,5547,0.7853,0.6391196945879183,0.9026500811249324
motion_blur_s3,10000,5477,4523,0.6845,0.5685594303450794,0.8248949812071634
motion_blur_s4,10000,5396,4604,0.6901,0.5737583395107487,0.8264552562988705
motion_blur_s5,10000,6060,3940,0.601,0.5061056105610561,0.7469543147208122
pixelate_s1,10000,2797,7203,0.908,0.7340007150518413,0.9755657364986812
pixelate_s2,10000,3804,6196,0.8573,0.6792849631966351,0.9665913492575856
pixelate_s3,10000,4645,5355,0.7986,0.611194833153929,0.961157796451914
pixelate_s4,10000,6471,3529,0.6097,0.4486169061968784,0.9050722584301502
pixelate_s5,10000,7668,2332,0.4459,0.3364632237871675,0.8057461406518011
saturate_s1,10000,2691,7309,0.9053,0.7216648086213303,0.972910110822274
saturate_s2,10000,3102,6898,0.8755,0.692134107027724,0.9579588286459844
saturate_s3,10000,2519,7481,0.9207,0.758634378721715,0.9752706857372008
saturate_s4,10000,3174,6826,0.8852,0.7129804662885948,0.9652798124816876
saturate_s5,10000,4156,5844,0.8259,0.6535129932627527,0.9484941820670774
shot_noise_s1,10000,4227,5773,0.8246,0.6616986042110243,0.9438766672440672
shot_noise_s2,10000,5684,4316,0.7054,0.5601688951442646,0.896663577386469
shot_noise_s3,10000,8158,1842,0.4434,0.3785241480755087,0.7307274701411509
shot_noise_s4,10000,8809,1191,0.3616,0.3208082642751731,0.6633081444164568
shot_noise_s5,10000,9506,494,0.2608,0.2458447296444351,0.548582995951417
snow_s1,10000,3082,6918,0.8848,0.7219338092147956,0.9573576178086152
snow_s2,10000,4794,5206,0.7796,0.6272423863162286,0.9199001152516328
snow_s3,10000,4122,5878,0.8162,0.6465308102862688,0.9351820347056822
snow_s4,10000,4564,5436,0.7868,0.6220420683610868,0.9251287711552612
snow_s5,10000,5440,4560,0.7305,0.5893382352941177,0.8989035087719298
spatter_s1,10000,2720,7280,0.9048,0.7393382352941177,0.9666208791208792
spatter_s2,10000,3532,6468,0.8466,0.67440543601359,0.9406307977736548
spatter_s3,10000,4344,5656,0.7988,0.6353591160220995,0.9243281471004244
spatter_s4,10000,3165,6835,0.871,0.6973143759873618,0.9514264813460132
spatter_s5,10000,4067,5933,0.8114,0.6537988689451685,0.9194336760492162
speckle_noise_s1,10000,4226,5774,0.8218,0.6426881211547563,0.9528922757187392
speckle_noise_s2,10000,6243,3757,0.6569,0.5202626942175236,0.8839499600745275
speckle_noise_s3,10000,7288,2712,0.5702,0.4639132821075741,0.8558259587020649
speckle_noise_s4,10000,8575,1425,0.4215,0.3626822157434402,0.775438596491228
speckle_noise_s5,10000,9376,624,0.3119,0.2859428327645051,0.7019230769230769
zoom_blur_s1,10000,3684,6316,0.8544,0.6913680781758957,0.9494933502216591
zoom_blur_s2,10000,4201,5799,0.8198,0.6793620566531778,0.9215381962407312
zoom_blur_s3,10000,4947,5053,0.7516,0.617748130179907,0.8826439738769049
zoom_blur_s4,10000,5551,4449,0.6811,0.5613402990452171,0.8305237131939762
zoom_blur_s5,10000,6249,3751,0.5728,0.4747959673547767,0.7360703812316716
