transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,2363,7637,0.9301,0.7735928903935675,0.9785255990572216
brightness_s2,10000,2396,7604,0.9265,0.7675292153589316,0.9765912677538138
brightness_s3,10000,2477,7523,0.9177,0.7464675010092854,0.974079489565333
brightness_s4,10000,2622,7378,0.9105,0.7372234935163997,0.972079154242342
brightness_s5,10000,3095,6905,0.8803,0.6988691437802907,0.9616220130340332
contrast_s1,10000,2325,7675,0.9285,0.7660215053763441,0.9777198697068404
contrast_s2,10000,2721,7279,0.8956,0.7166482910694597,0.9624948481934332
contrast_s3,10000,3513,6487,0.8574,0.6934244235695987,0.9462000924926776
contrast_s4,10000,5105,4895,0.7581,0.6201762977473065,0.90194075587334
contrast_s5,10000,8877,1123,0.3589,0.3323194773008899,0.5690115761353517
defocus_blur_s1,10000,2311,7689,0.93,0.7710947641713544,0.9777604369879048
defocus_blur_s2,10000,2465,7535,0.9157,0.7533468559837728,0.968812209688122
defocus_blur_s3,10000,3456,6544,0.8622,0.7013888888888888,0.9471271393643031
defocus_blur_s4,10000,4991,5009,0.7616,0.6497695852534562,0.8730285486124975
defocus_blur_s5,10000,7061,2939,0.5295,0.4643818156068545,0.6859476012249064
elastic_transform_s1,10000,3184,6816,0.8835,0.7101130653266332,0.9644953051643192
elastic_transform_s2,10000,3168,6832,0.879,0.7039141414141414,0.9601873536299764
elastic_transform_s3,10000,3911,6089,0.8363,0.6809000255689082,0.9361143044834948
elastic_transform_s4,10000,4676,5324,0.7786,0.6422155688622755,0.8983846731780616
elastic_transform_s5,10000,5250,4750,0.7502,0.6177142857142857,0.8966315789473684
fog_s1,10000,2337,7663,0.9301,0.7706461275139067,0.9787289573274176
fog_s2,10000,2484,7516,0.9194,0.7568438003220612,0.973124002128792
fog_s3,10000,2864,7136,0.8979,0.7199720670391061,0.969310538116592
fog_s4,10000,3479,6521,0.8705,0.7131359586087956,0.9544548382149975
fog_s5,10000,5605,4395,0.7144,0.6001784121320249,0.8600682593856656
frost_s1,10000,3256,6744,0.8895,0.7238943488943489,0.9694543297746144
frost_s2,10000,4086,5914,0.8305,0.6647087616250612,0.9450456543794388
frost_s3,10000,5453,4547,0.7271,0.5725288831835686,0.9124697602815044
frost_s4,10000,5608,4392,0.7128,0.5713266761768901,0.8934426229508197
frost_s5,10000,6601,3399,0.5939,0.4705347674594758,0.833480435422183
gaussian_blur_s1,10000,2309,7691,0.93,0.7700303161541793,0.978026264464959
gaussian_blur_s2,10000,3471,6529,0.8589,0.6986459233650245,0.9440955735947312
gaussian_blur_s3,10000,5157,4843,0.7456,0.6354469652898972,0.8628948998554615
gaussian_blur_s4,10000,6453,3547,0.5953,0.5247171858050519,0.7237101776148859
gaussian_blur_s5,10000,8019,1981,0.3467,0.3100137174211248,0.4952044422009086
gaussian_noise_s1,10000,5518,4482,0.724,0.5755708590068865,0.9067380633645694
gaussian_noise_s2,10000,7706,2294,0.4807,0.4026732416298987,0.7428073234524848
gaussian_noise_s3,10000,9027,973,0.3011,0.2735127949484878,0.5570400822199383
gaussian_noise_s4,10000,9450,550,0.2467,0.232063492063492,0.4981818181818181
gaussian_noise_s5,10000,9680,320,0.2073,0.1988636363636363,0.4625
glass_blur_s1,10000,7143,2857,0.5393,0.4362312753744925,0.7969898494924746
glass_blur_s2,10000,6931,3069,0.5636,0.4517385658635117,0.8162267839687195
glass_blur_s3,10000,6665,3335,0.6017,0.4834208552138034,0.8380809595202399
glass_blur_s4,10000,7714,2286,0.4479,0.3689395903551983,0.7143482064741907
glass_blur_s5,10000,7407,2593,0.4884,0.3986769272309977,0.7446972618588508
impulse_noise_s1,10000,3639,6361,0.845,0.6746358889804891,0.9424618770633548
impulse_noise_s2,10000,5501,4499,0.7423,0.6164333757498637,0.8961991553678595
impulse_noise_s3,10000,7322,2678,0.6181,0.5374214695438405,0.8386855862584018
impulse_noise_s4,10000,9520,480,0.348,0.3303571428571428,0.6979166666666666
impulse_noise_s5,10000,9909,91,0.189,0.1858916136845292,0.5274725274725275
jpeg_compression_s1,10000,3646,6354,0.8463,0.6566099835436094,0.9551463644948064
jpeg_compression_s2,10000,4498,5502,0.7961,0.6233881725211204,0.9372955288985824
jpeg_compression_s3,10000,4812,5188,0.7814,0.6240648379052369,0.9273323053199692
jpeg_compression_s4,10000,5068,4932,0.7524,0.5976716653512234,0.9113949716139496
jpeg_compression_s5,10000,5618,4382,0.7209,0.5884656461374155,0.8906891830214514
motion_blur_s1,10000,3251,6749,0.8765,0.707167025530606,0.9580678619054674
motion_blur_s2,10000,4624,5376,0.7853,0.6416522491349481,0.9088541666666666
motion_blur_s3,10000,5719,4281,0.6845,0.5689805910124147,0.8388227049754731
motion_blur_s4,10000,5693,4307,0.6901,0.5772000702617249,0.8393313211051776
motion_blur_s5,10000,6433,3567,0.601,0.5045857298305612,0.7748808522567985
pixelate_s1,10000,2821,7179,0.908,0.7309464728819568,0.9775734782003064
pixelate_s2,10000,3827,6173,0.8573,0.6778155212960544,0.9685728171067552
pixelate_s3,10000,4712,5288,0.7986,0.6135398981324278,0.963502269288956
pixelate_s4,10000,6536,3464,0.6097,0.4505813953488372,0.9099307159353348
pixelate_s5,10000,7756,2244,0.4459,0.3405105724600309,0.8101604278074866
saturate_s1,10000,2748,7252,0.9053,0.7267103347889374,0.972972972972973
saturate_s2,10000,3191,6809,0.8755,0.6900658100908806,0.9624027023057716
