transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,2423,7577,0.9359,0.799009492364837,0.9796753332453476
brightness_s2,10000,2474,7526,0.9304,0.7841552142279709,0.9784746213127824
brightness_s3,10000,2501,7499,0.9229,0.7628948420631747,0.97626350180024
brightness_s4,10000,2600,7400,0.9136,0.7407692307692307,0.9743243243243244
brightness_s5,10000,2955,7045,0.8862,0.6964467005076143,0.9657913413768632
contrast_s1,10000,2277,7723,0.9307,0.7764602547211242,0.9761750615045968
contrast_s2,10000,2732,7268,0.8946,0.7163250366032211,0.9616125481563016
contrast_s3,10000,3457,6543,0.8462,0.6644489441712468,0.9422283356258596
contrast_s4,10000,4820,5180,0.7358,0.5771784232365145,0.8833976833976834
contrast_s5,10000,7628,2372,0.3384,0.290115364446775,0.4936762225969646
defocus_blur_s1,10000,2391,7609,0.9364,0.8025930572982016,0.9784465764226574
defocus_blur_s2,10000,2566,7434,0.9154,0.7564302416212003,0.9702717245090128
defocus_blur_s3,10000,3558,6442,0.8398,0.664699269252389,0.9365104004967402
defocus_blur_s4,10000,5131,4869,0.6987,0.555057493665952,0.8500718833436024
defocus_blur_s5,10000,6909,3091,0.4186,0.345346649298017,0.5823358136525396
elastic_transform_s1,10000,3170,6830,0.8822,0.7123028391167192,0.9610541727672036
elastic_transform_s2,10000,3170,6830,0.8792,0.7097791798107256,0.9578330893118594
elastic_transform_s3,10000,3881,6119,0.8217,0.658077814996135,0.9254780192841968
elastic_transform_s4,10000,4883,5117,0.7432,0.5908253123080074,0.8886066054328708
elastic_transform_s5,10000,5397,4603,0.7046,0.5566055215860664,0.8781229632848142
fog_s1,10000,2337,7663,0.9353,0.7950363714163458,0.9780764713558658
fog_s2,10000,2434,7566,0.9218,0.7612982744453575,0.9734337827121332
fog_s3,10000,2721,7279,0.8982,0.7236310180080853,0.963456518752576
fog_s4,10000,3403,6597,0.8581,0.6852776961504555,0.9472487494315598
fog_s5,10000,5427,4573,0.6487,0.5386032798968122,0.7793570959982506
frost_s1,10000,3343,6657,0.8782,0.7062518695782232,0.964548595463422
frost_s2,10000,4166,5834,0.814,0.6399423907825252,0.9382927665409668
frost_s3,10000,5515,4485,0.7094,0.5533998186763373,0.901226309921962
frost_s4,10000,5764,4236,0.6907,0.5426786953504511,0.8921152030217187
frost_s5,10000,6954,3046,0.5676,0.452113891285591,0.8312541037426132
gaussian_blur_s1,10000,2387,7613,0.9363,0.8018433179723502,0.978457900958886
gaussian_blur_s2,10000,3590,6410,0.8358,0.6593314763231197,0.9346333853354134
gaussian_blur_s3,10000,5279,4721,0.6678,0.5321083538548967,0.8195297606439313
gaussian_blur_s4,10000,6588,3412,0.4699,0.387826350941105,0.6283704572098476
gaussian_blur_s5,10000,8234,1766,0.2381,0.213262084041778,0.3539071347678369
gaussian_noise_s1,10000,5417,4583,0.7363,0.587225401513753,0.9125027274710888
gaussian_noise_s2,10000,7461,2539,0.5274,0.4365366572845463,0.7944072469476172
gaussian_noise_s3,10000,8698,1302,0.3577,0.3145550701310646,0.6459293394777266
gaussian_noise_s4,10000,8886,1114,0.2871,0.2600720234076075,0.5026929982046678
gaussian_noise_s5,10000,8831,1169,0.2383,0.2234175065111538,0.350727117194183
glass_blur_s1,10000,7331,2669,0.5057,0.4153594325467194,0.7538403896590483
glass_blur_s2,10000,7079,2921,0.5414,0.4456844187032067,0.7733652858610065
glass_blur_s3,10000,6901,3099,0.5696,0.4684828285755688,0.7947725072604066
glass_blur_s4,10000,7773,2227,0.4298,0.3562331146275569,0.6865738661876964
glass_blur_s5,10000,7638,2362,0.4493,0.3672427336999214,0.7146486028789162
impulse_noise_s1,10000,3287,6713,0.8723,0.6951627623973228,0.9590347087740204
impulse_noise_s2,10000,4609,5391,0.7794,0.612063354306791,0.9224633648673716
impulse_noise_s3,10000,5929,4071,0.6666,0.5182998819362455,0.8825841316629821
impulse_noise_s4,10000,8091,1909,0.4619,0.3971078976640712,0.7365112624410686
impulse_noise_s5,10000,8984,1016,0.296,0.2780498664292075,0.4547244094488189
jpeg_compression_s1,10000,3793,6207,0.8444,0.6683364091747956,0.951989689060738
jpeg_compression_s2,10000,4472,5528,0.7897,0.6167262969588551,0.929630969609262
jpeg_compression_s3,10000,4711,5289,0.7701,0.6056039057524941,0.9166193987521272
jpeg_compression_s4,10000,4975,5025,0.7526,0.6040201005025125,0.8997014925373135
jpeg_compression_s5,10000,5357,4643,0.7042,0.5566548441291768,0.8744346327805298
motion_blur_s1,10000,3191,6809,0.8748,0.705421497963021,0.9541782934351594
motion_blur_s2,10000,4463,5537,0.7797,0.6246919112704459,0.9046415026187468
motion_blur_s3,10000,5466,4534,0.6716,0.5407976582510062,0.8292898103220114
motion_blur_s4,10000,5403,4597,0.6666,0.526929483620211,0.8307591907765934
motion_blur_s5,10000,5916,4084,0.5813,0.4677146720757268,0.7458374142997062
pixelate_s1,10000,2857,7143,0.9076,0.7336366818340917,0.977180456390872
pixelate_s2,10000,4255,5745,0.8426,0.6702702702702703,0.9702349869451696
pixelate_s3,10000,5180,4820,0.7667,0.5833976833976834,0.9636929460580912
pixelate_s4,10000,7171,2829,0.5294,0.3965974062194952,0.8660303994344292
pixelate_s5,10000,8731,1269,0.38,0.3294009849959913,0.7281323877068558
saturate_s1,10000,2702,7298,0.9078,0.7405625462620281,0.969717730885174
saturate_s2,10000,3157,6843,0.8799,0.7120684193854926,0.957328657021774
saturate_s3,10000,2541,7459,0.9297,0.7922077922077922,0.9765384099745276
saturate_s4,10000,3148,6852,0.8918,0.7185514612452351,0.971395213076474
saturate_s5,10000,3930,6070,0.8294,0.6389312977099236,0.9527182866556836
shot_noise_s1,10000,4291,5709,0.8213,0.6520624563038918,0.9485023646873356
shot_noise_s2,10000,5621,4379,0.7174,0.5712506671410781,0.9050011418131994
shot_noise_s3,10000,7768,2232,0.4942,0.4143923789907312,0.7719534050179212
shot_noise_s4,10000,8265,1735,0.4166,0.3618874773139746,0.6772334293948127
shot_noise_s5,10000,8604,1396,0.3002,0.2741748024174802,0.4606017191977077
snow_s1,10000,3288,6712,0.8856,0.7277980535279805,0.9629022646007152
snow_s2,10000,4790,5210,0.7783,0.6219206680584551,0.9220729366602688
snow_s3,10000,4264,5736,0.8162,0.649624765478424,0.9400278940027894
snow_s4,10000,4629,5371,0.7806,0.6169799092676604,0.9216160863898716
snow_s5,10000,5594,4406,0.7104,0.5723989989274222,0.8856105310939628
spatter_s1,10000,2813,7187,0.9083,0.7422680412371134,0.9732850980937804
spatter_s2,10000,3671,6329,0.8452,0.6660310542086625,0.9491230842155158
spatter_s3,10000,4315,5685,0.8022,0.6266512166859791,0.9354441512752858
spatter_s4,10000,3191,6809,0.8869,0.7298652460043873,0.9604934645322368
spatter_s5,10000,4070,5930,0.8139,0.6481572481572482,0.9276559865092748
speckle_noise_s1,10000,4119,5881,0.8292,0.6576839038601602,0.9493283455194694
speckle_noise_s2,10000,5840,4160,0.6857,0.5340753424657534,0.8985576923076923
speckle_noise_s3,10000,6621,3379,0.6128,0.488445854100589,0.8564664101805268
speckle_noise_s4,10000,7644,2356,0.4745,0.4034536891679748,0.7050084889643463
speckle_noise_s5,10000,8122,1878,0.3627,0.3282442748091603,0.5117145899893504
zoom_blur_s1,10000,3912,6088,0.8376,0.6646216768916156,0.9487516425755584
zoom_blur_s2,10000,4563,5437,0.7822,0.6160420775805391,0.9216479676292072
zoom_blur_s3,10000,5476,4524,0.6868,0.5339663988312637,0.8717948717948718
zoom_blur_s4,10000,6133,3867,0.5946,0.4591553888798304,0.8094129816395138
zoom_blur_s5,10000,6841,3159,0.4694,0.3638356965355942,0.698005698005698
