transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,1280,8720,0.9301,0.6796875,0.9668577981651376
brightness_s2,10000,1339,8661,0.9265,0.6803584764749814,0.964553746680522
brightness_s3,10000,1465,8535,0.9177,0.6621160409556314,0.9615700058582308
brightness_s4,10000,1598,8402,0.9105,0.6570713391739674,0.958700309450131
brightness_s5,10000,2021,7979,0.8803,0.6204849084611579,0.9461085349041232
contrast_s1,10000,1316,8684,0.9285,0.6869300911854104,0.9651082450483648
contrast_s2,10000,1856,8144,0.8956,0.6632543103448276,0.9485510805500982
contrast_s3,10000,2530,7470,0.8574,0.6426877470355731,0.9301204819277108
contrast_s4,10000,3985,6015,0.7581,0.5826850690087829,0.8743142144638404
contrast_s5,10000,8033,1967,0.3589,0.3216730984688161,0.5109303507880021
defocus_blur_s1,10000,1290,8710,0.93,0.6868217054263566,0.96601607347876
defocus_blur_s2,10000,1529,8471,0.9157,0.6926095487246566,0.9559674182505016
defocus_blur_s3,10000,2418,7582,0.8622,0.6724565756823822,0.9227116855710894
defocus_blur_s4,10000,3854,6146,0.7616,0.6279190451478983,0.8454279205987634
defocus_blur_s5,10000,5930,4070,0.5295,0.4536256323777403,0.64004914004914
elastic_transform_s1,10000,2157,7843,0.8835,0.6699119146963375,0.9422414892260614
elastic_transform_s2,10000,2114,7886,0.879,0.6508987701040682,0.9401470961197058
elastic_transform_s3,10000,2795,7205,0.8363,0.6372093023255814,0.91353226925746
elastic_transform_s4,10000,3516,6484,0.7786,0.6100682593856656,0.8699876619370759
elastic_transform_s5,10000,4023,5977,0.7502,0.5794183445190156,0.8651497406725782
fog_s1,10000,1321,8679,0.9301,0.6926570779712339,0.9662403502707684
fog_s2,10000,1541,8459,0.9194,0.6878650227125244,0.9615793829057808
fog_s3,10000,1917,8083,0.8979,0.6677099634846114,0.9524928863045898
fog_s4,10000,2501,7499,0.8705,0.6745301879248301,0.9358581144152552
fog_s5,10000,4535,5465,0.7144,0.5689084895259096,0.8351326623970723
frost_s1,10000,2193,7807,0.8895,0.6611947104423165,0.9536313564749584
frost_s2,10000,2960,7040,0.8305,0.6081081081081081,0.9240056818181818
frost_s3,10000,4248,5752,0.7271,0.5268361581920904,0.875
frost_s4,10000,4445,5555,0.7128,0.525984251968504,0.8622862286228623
frost_s5,10000,5389,4611,0.5939,0.439413620337725,0.7744523964432878
gaussian_blur_s1,10000,1278,8722,0.93,0.6838810641627543,0.9660628296262324
gaussian_blur_s2,10000,2439,7561,0.8589,0.6695366953669537,0.9199841290834546
gaussian_blur_s3,10000,4008,5992,0.7456,0.6167664670658682,0.8317757009345794
gaussian_blur_s4,10000,5278,4722,0.5953,0.5178097764304661,0.6819144430326133
gaussian_blur_s5,10000,6998,3002,0.3467,0.3090883109459845,0.4343770819453698
