transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,1342,8658,0.9301,0.706408345752608,0.9647724647724648
brightness_s2,10000,1374,8626,0.9265,0.7045123726346434,0.9618594945513564
brightness_s3,10000,1459,8541,0.9177,0.6799177518848526,0.9583186980447256
brightness_s4,10000,1584,8416,0.9105,0.6786616161616161,0.9541349809885932
brightness_s5,10000,1904,8096,0.8803,0.6302521008403361,0.9391057312252964
contrast_s1,10000,1301,8699,0.9285,0.7009992313604919,0.9625244280951832
contrast_s2,10000,1620,8380,0.8956,0.6598765432098765,0.9411694510739856
contrast_s3,10000,2123,7877,0.8574,0.6387187941592086,0.9163387076298084
contrast_s4,10000,3266,6734,0.7581,0.5688916105327618,0.8498663498663499
contrast_s5,10000,6895,3105,0.3589,0.3093546047860768,0.4689210950080515
defocus_blur_s1,10000,1322,8678,0.93,0.7012102874432677,0.9648536529154182
defocus_blur_s2,10000,1469,8531,0.9157,0.6882232811436352,0.9548704723947956
defocus_blur_s3,10000,2140,7860,0.8622,0.6668224299065421,0.9153944020356234
defocus_blur_s4,10000,3303,6697,0.7616,0.6264002422040569,0.8282813199940272
defocus_blur_s5,10000,4840,5160,0.5295,0.4642561983471074,0.5906976744186047
elastic_transform_s1,10000,1957,8043,0.8835,0.6612161471640265,0.937585478055452
elastic_transform_s2,10000,1971,8029,0.879,0.6468797564687976,0.9359820650143232
elastic_transform_s3,10000,2440,7560,0.8363,0.6348360655737705,0.9013227513227512
elastic_transform_s4,10000,3182,6818,0.7786,0.6081081081081081,0.8581695511880317
elastic_transform_s5,10000,3702,6298,0.7502,0.5769854132901134,0.8520165131787869
fog_s1,10000,1336,8664,0.9301,0.719311377245509,0.9626038781163436
fog_s2,10000,1462,8538,0.9194,0.6922024623803009,0.9583040524713048
fog_s3,10000,1727,8273,0.8979,0.6653155761436016,0.946452314758854
fog_s4,10000,2177,7823,0.8705,0.6711070280202113,0.9259874728365076
fog_s5,10000,3889,6111,0.7144,0.5826690665980973,0.7982326951399117
frost_s1,10000,2094,7906,0.8895,0.6680993314231136,0.948140652668859
frost_s2,10000,2763,7237,0.8305,0.6134636264929425,0.91336189028603
frost_s3,10000,3971,6029,0.7271,0.5331150843616218,0.8548681373362084
frost_s4,10000,4142,5858,0.7128,0.5292129406084017,0.8426083987709115
frost_s5,10000,5089,4911,0.5939,0.4427195912752996,0.7505599674200774
gaussian_blur_s1,10000,1317,8683,0.93,0.7015945330296127,0.9646435563745248
gaussian_blur_s2,10000,2164,7836,0.8589,0.6645101663585952,0.9125829504849412
gaussian_blur_s3,10000,3334,6666,0.7456,0.6139772045590882,0.8114311431143114
gaussian_blur_s4,10000,4381,5619,0.5953,0.5341246290801187,0.6429969745506318
gaussian_blur_s5,10000,5421,4579,0.3467,0.3189448441247002,0.3795588556453374
gaussian_noise_s1,10000,4091,5909,0.724,0.5360547543387925,0.8541208326281943
gaussian_noise_s2,10000,6386,3614,0.4807,0.3823989978077043,0.6543995572772551
gaussian_noise_s3,10000,8131,1869,0.3011,0.260361579141557,0.478330658105939
gaussian_noise_s4,10000,8779,1221,0.2467,0.2242852261077571,0.4078624078624078
gaussian_noise_s5,10000,9187,813,0.2073,0.1938608903885925,0.3591635916359164
glass_blur_s1,10000,5564,4436,0.5393,0.417685118619698,0.6918394950405771
glass_blur_s2,10000,5388,4612,0.5636,0.4255753526354863,0.7248482220294883
glass_blur_s3,10000,5129,4871,0.6017,0.4550594657828036,0.7561075754465202
glass_blur_s4,10000,6156,3844,0.4479,0.3484405458089669,0.6071800208116546
glass_blur_s5,10000,5831,4169,0.4884,0.3812382095695421,0.6382825617654113
impulse_noise_s1,10000,2365,7635,0.845,0.6224101479915434,0.9139489194499018
impulse_noise_s2,10000,4024,5976,0.7423,0.570079522862823,0.8582663989290495
impulse_noise_s3,10000,5946,4054,0.6181,0.5042045072317525,0.7851504686729156
