transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
cw,10000,8497,1503,0.0562,0.0569612804519242,0.0518962075848303
df,10000,8957,1043,0.0937,0.0923300212124595,0.1054650047938638
fg,10000,4932,5068,0.0982,0.1064476885644768,0.0901736385161799
jsma,10000,9423,577,0.0068,0.0063673989175421,0.0138648180242634
