transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,1431,8569,0.938,0.7092941998602376,0.976193254755514
brightness_s2,10000,1462,8538,0.9347,0.7004103967168263,0.9748184586554228
brightness_s3,10000,1575,8425,0.9291,0.7117460317460318,0.96973293768546
brightness_s4,10000,1683,8317,0.9197,0.6827094474153298,0.9676566069496212
brightness_s5,10000,2049,7951,0.8918,0.6481210346510493,0.9545969060495536
contrast_s1,10000,1415,8585,0.932,0.6876325088339222,0.9722772277227724
contrast_s2,10000,1862,8138,0.8973,0.6369495166487648,0.9568690095846646
contrast_s3,10000,2461,7539,0.8594,0.6314506298252742,0.9338108502453908
contrast_s4,10000,3597,6403,0.772,0.5763135946622185,0.8819303451507106
contrast_s5,10000,7090,2910,0.385,0.3152327221438646,0.5549828178694158
defocus_blur_s1,10000,1419,8581,0.9361,0.7089499647639183,0.9736627432700152
defocus_blur_s2,10000,1663,8337,0.9191,0.7005411906193626,0.9626964135780256
defocus_blur_s3,10000,2587,7413,0.8491,0.6374178585233862,0.9229731552677728
defocus_blur_s4,10000,4015,5985,0.7305,0.563387297633873,0.8426065162907268
defocus_blur_s5,10000,5685,4315,0.5015,0.4031662269129287,0.6310544611819235
elastic_transform_s1,10000,2226,7774,0.8836,0.6648697214734951,0.946231026498585
elastic_transform_s2,10000,2349,7651,0.8765,0.6551724137931034,0.944451705659391
elastic_transform_s3,10000,2940,7060,0.8254,0.6204081632653061,0.9107648725212464
elastic_transform_s4,10000,3692,6308,0.7643,0.5785482123510293,0.8730183893468612
elastic_transform_s5,10000,4342,5658,0.7364,0.5601105481345002,0.8716861081654295
fog_s1,10000,1420,8580,0.9364,0.7007042253521126,0.9754079254079254
fog_s2,10000,1563,8437,0.9248,0.6820217530390275,0.9697759867251392
fog_s3,10000,1862,8138,0.9047,0.6691729323308271,0.9585893339886952
fog_s4,10000,2311,7689,0.8695,0.6382518390307226,0.9390037716217974
fog_s5,10000,4233,5767,0.6801,0.5067328136073707,0.8073521761747876
frost_s1,10000,2198,7802,0.8875,0.6546860782529572,0.9530889515508844
frost_s2,10000,3077,6923,0.8283,0.6074098147546312,0.9264769608551208
frost_s3,10000,4370,5630,0.7249,0.537070938215103,0.8706927175843695
frost_s4,10000,4510,5490,0.7058,0.5235033259423504,0.8555555555555555
frost_s5,10000,5457,4543,0.5869,0.4396188381894814,0.763812458727713
gaussian_blur_s1,10000,1411,8589,0.9359,0.7072997873848335,0.9734544184421936
gaussian_blur_s2,10000,2591,7409,0.848,0.6395214203010421,0.9209070049939264
gaussian_blur_s3,10000,4234,5766,0.6934,0.5422768068020785,0.8043704474505723
gaussian_blur_s4,10000,5464,4536,0.509,0.4174597364568082,0.6192680776014109
gaussian_blur_s5,10000,6878,3122,0.2905,0.245274789182902,0.3901345291479821
gaussian_noise_s1,10000,4078,5922,0.7561,0.5590975968612065,0.891759540695711
gaussian_noise_s2,10000,6225,3775,0.5255,0.4061044176706827,0.7223841059602649
gaussian_noise_s3,10000,7776,2224,0.3399,0.2748199588477366,0.5674460431654677
gaussian_noise_s4,10000,8404,1596,0.2738,0.2291765825797239,0.5087719298245614
gaussian_noise_s5,10000,8811,1189,0.2312,0.1995233231188287,0.4659377628259041
glass_blur_s1,10000,5912,4088,0.5238,0.4027401894451962,0.6988747553816047
glass_blur_s2,10000,5838,4162,0.56,0.4254881808838643,0.7486785199423354
glass_blur_s3,10000,5550,4450,0.5893,0.4479279279279279,0.7656179775280899
glass_blur_s4,10000,6345,3655,0.4377,0.3328605200945626,0.6196990424076607
glass_blur_s5,10000,6284,3716,0.4774,0.3631444939528962,0.6706135629709364
impulse_noise_s1,10000,2448,7552,0.8699,0.6331699346405228,0.9466366525423728
impulse_noise_s2,10000,3784,6216,0.7779,0.5755813953488372,0.901061776061776
impulse_noise_s3,10000,5464,4536,0.6642,0.5122620790629575,0.8472222222222222
impulse_noise_s4,10000,8066,1934,0.3889,0.3333746590627324,0.6204756980351603
impulse_noise_s5,10000,8622,1378,0.2013,0.1818603572257016,0.3229317851959361
jpeg_compression_s1,10000,2718,7282,0.8537,0.6122148638704931,0.9438341115078276
jpeg_compression_s2,10000,3490,6510,0.8007,0.5908309455587393,0.91321044546851
jpeg_compression_s3,10000,3756,6244,0.7783,0.56975505857295,0.903747597693786
jpeg_compression_s4,10000,4018,5982,0.7513,0.5495271279243404,0.8868271481109997
jpeg_compression_s5,10000,4437,5563,0.7146,0.5350462023890016,0.8578105338845946
motion_blur_s1,10000,2448,7552,0.8695,0.6548202614379085,0.9390889830508474
motion_blur_s2,10000,3527,6473,0.7745,0.5886022115111993,0.8757917503475977
motion_blur_s3,10000,4387,5613,0.6759,0.5172099384545248,0.7999287368608587
motion_blur_s4,10000,4334,5666,0.681,0.5177664974619289,0.8058595128838687
motion_blur_s5,10000,4885,5115,0.5975,0.461207778915046,0.727663734115347
pixelate_s1,10000,2039,7961,0.9123,0.6792545365375184,0.9719884436628564
pixelate_s2,10000,3389,6611,0.8435,0.6134552965476542,0.9614279231583724
pixelate_s3,10000,4178,5822,0.7818,0.5536141694590714,0.94555135692202
pixelate_s4,10000,6331,3669,0.5663,0.3997788658979624,0.8536385936222404
pixelate_s5,10000,8127,1873,0.3947,0.3129075919773594,0.7495995728777363
saturate_s1,10000,1777,8223,0.9152,0.6809229037703995,0.96582755685273
saturate_s2,10000,2132,7868,0.8885,0.6430581613508443,0.9550076258261312
saturate_s3,10000,1592,8408,0.9305,0.6934673366834171,0.9753805899143672
saturate_s4,10000,2091,7909,0.8988,0.6432329029172644,0.966367429510684
saturate_s5,10000,2911,7089,0.8504,0.6152524905530745,0.9469600789956272
shot_noise_s1,10000,2927,7073,0.8416,0.6077895456098394,0.938357132758377
shot_noise_s2,10000,4327,5673,0.7355,0.536630459902935,0.8871849109818438
shot_noise_s3,10000,6980,3020,0.4791,0.3755014326647564,0.7185430463576159
shot_noise_s4,10000,7677,2323,0.3917,0.3072814901654292,0.6706844597503229
shot_noise_s5,10000,8684,1316,0.2744,0.2298479963150621,0.5683890577507599
snow_s1,10000,2175,7825,0.8866,0.6560919540229885,0.950670926517572
snow_s2,10000,3771,6229,0.7769,0.5775656324582339,0.8975758548723711
snow_s3,10000,3184,6816,0.8182,0.5917085427135679,0.9240023474178404
snow_s4,10000,3608,6392,0.7854,0.572339246119734,0.905663329161452
snow_s5,10000,4457,5543,0.7122,0.5146959838456361,0.8710084791629081
spatter_s1,10000,1784,8216,0.9099,0.6597533632286996,0.9642161635832522
spatter_s2,10000,2501,7499,0.8606,0.6161535385845661,0.9421256167488998
spatter_s3,10000,3272,6728,0.8133,0.5849633251833741,0.924346016646849
spatter_s4,10000,2209,7791,0.8859,0.6532367587143504,0.9518675394686176
spatter_s5,10000,2790,7210,0.83,0.6150537634408603,0.9131761442441054
speckle_noise_s1,10000,2947,7053,0.8483,0.6253817441465898,0.9414433574365518
speckle_noise_s2,10000,4906,5094,0.6923,0.5006114961271912,0.8769140164899882
speckle_noise_s3,10000,5893,4107,0.6067,0.4483285253690819,0.8339420501582664
speckle_noise_s4,10000,7462,2538,0.4546,0.3527204502814259,0.7541371158392435
speckle_noise_s5,10000,8398,1602,0.3305,0.2711359847582757,0.6416978776529338
zoom_blur_s1,10000,2941,7059,0.8472,0.62937776266576,0.9379515512112198
zoom_blur_s2,10000,3422,6578,0.801,0.6095850379894798,0.9005776831863789
zoom_blur_s3,10000,4295,5705,0.7186,0.5462165308498254,0.8483786152497809
zoom_blur_s4,10000,4800,5200,0.6395,0.485625,0.7815384615384615
zoom_blur_s5,10000,5393,4607,0.5157,0.3940292972371593,0.6581289342305188
