transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,1298,8702,0.9359,0.7110939907550077,0.9694323144104804
brightness_s2,10000,1407,8593,0.9304,0.6922530206112296,0.96939369254044
brightness_s3,10000,1488,8512,0.9229,0.6747311827956989,0.966282894736842
brightness_s4,10000,1610,8390,0.9136,0.6590062111801243,0.9624553039332538
brightness_s5,10000,1991,8009,0.8862,0.6298342541436464,0.949931327256836
contrast_s1,10000,1294,8706,0.9307,0.6947449768160742,0.9657707328279348
contrast_s2,10000,1867,8133,0.8946,0.6668452062131762,0.9468830689782368
contrast_s3,10000,2646,7354,0.8462,0.6349206349206349,0.9222192004351374
contrast_s4,10000,3965,6035,0.7358,0.5634300126103404,0.8490472245236123
contrast_s5,10000,6504,3496,0.3384,0.2958179581795818,0.4176201372997711
defocus_blur_s1,10000,1289,8711,0.9364,0.7191621411947245,0.9685455171622088
defocus_blur_s2,10000,1514,8486,0.9154,0.6677675033025099,0.9595804855055384
defocus_blur_s3,10000,2620,7380,0.8398,0.6217557251908397,0.9172086720867209
defocus_blur_s4,10000,4182,5818,0.6987,0.5284552845528455,0.8210725335166724
defocus_blur_s5,10000,6071,3929,0.4186,0.3239993411299621,0.5647747518452533
elastic_transform_s1,10000,2236,7764,0.8822,0.6654740608228981,0.9446161772282328
elastic_transform_s2,10000,2226,7774,0.8792,0.6540880503144654,0.9436583483406226
elastic_transform_s3,10000,2951,7049,0.8217,0.6153846153846154,0.9080720669598524
elastic_transform_s4,10000,3971,6029,0.7432,0.5653487786451775,0.860341681870957
elastic_transform_s5,10000,4489,5511,0.7046,0.5235018935174872,0.852113953910361
fog_s1,10000,1284,8716,0.9353,0.7149532710280374,0.9677604405690684
fog_s2,10000,1502,8498,0.9218,0.6950732356857523,0.9618733819722288
fog_s3,10000,1832,8168,0.8982,0.6670305676855895,0.950048971596474
fog_s4,10000,2520,7480,0.8581,0.6567460317460317,0.9259358288770052
fog_s5,10000,4440,5560,0.6487,0.5247747747747747,0.7476618705035971
frost_s1,10000,2311,7689,0.8782,0.6369536996971008,0.950708804786058
frost_s2,10000,3226,6774,0.814,0.5967141971481711,0.9174785946265132
frost_s3,10000,4548,5452,0.7094,0.525065963060686,0.8631694790902421
frost_s4,10000,4847,5153,0.6907,0.512275634413039,0.8585290122258878
frost_s5,10000,5986,4014,0.5676,0.4223187437353826,0.7842551071250623
gaussian_blur_s1,10000,1288,8712,0.9363,0.71972049689441,0.96831955922865
gaussian_blur_s2,10000,2660,7340,0.8358,0.6161654135338346,0.9153950953678476
gaussian_blur_s3,10000,4332,5668,0.6678,0.5048476454293629,0.7923429781227946
gaussian_blur_s4,10000,5665,4335,0.4699,0.369108561341571,0.6016147635524798
gaussian_blur_s5,10000,7204,2796,0.2381,0.2015546918378678,0.3322603719599428
gaussian_noise_s1,10000,4569,5431,0.7363,0.5602976581308821,0.8843675197937765
gaussian_noise_s2,10000,6772,3228,0.5274,0.4167158889545186,0.7596034696406444
gaussian_noise_s3,10000,8148,1852,0.3577,0.306087383406971,0.5847732181425486
gaussian_noise_s4,10000,8506,1494,0.2871,0.2538208323536327,0.4765729585006693
gaussian_noise_s5,10000,8737,1263,0.2383,0.2186105070390294,0.3745051464766429
glass_blur_s1,10000,6609,3391,0.5057,0.4012709940989559,0.7092303155411384
glass_blur_s2,10000,6323,3677,0.5414,0.4244820496599715,0.7424530867555073
glass_blur_s3,10000,6040,3960,0.5696,0.4451986754966887,0.7593434343434343
glass_blur_s4,10000,7226,2774,0.4298,0.3437586493218931,0.6539293439077145
glass_blur_s5,10000,7035,2965,0.4493,0.3533759772565742,0.6768971332209106
impulse_noise_s1,10000,2319,7681,0.8723,0.6200948684777922,0.9484442129931
impulse_noise_s2,10000,3611,6389,0.7794,0.5566325117695929,0.9053059946783534
impulse_noise_s3,10000,5114,4886,0.6666,0.4814235432147047,0.8604175194433074
impulse_noise_s4,10000,7665,2335,0.4619,0.3759947814742335,0.7438972162740899
impulse_noise_s5,10000,8963,1037,0.296,0.2703335936628361,0.5178399228543876
jpeg_compression_s1,10000,2885,7115,0.8444,0.61421143847487,0.9377371749824316
